AAA,Anaa
YDN,DAUPHIN LTC W.G.(BILLY)BARKER
YDP,Nain
YDQ,Dawson Creek
YDS,  Desolation Sound
YDV,BLOODVEIN RIVER
YEC,YECHON
YEE,MIDLAND HURONIA
YEG,Edmonton International Apt
YEI,Bursa
YEK,Arviat
YEL,ELLIOT LAKE MUNICIPAL
YEM,MANITOWANING MANITOULIN EAST M
YEO,YEOVILTON
YER,Fort Severn
YES,Yasouj
YET,EDSON
YEU,EUREKA
YEV,Inuvik
YFA,Fort Albany
YFB,Iqaluit
YFC,Fredericton
YFH,Fort Hope
YFJ,Snare Lake
YFO,Flin Flon
YFR,FORT RESOLUTION
YFS,Fort Simpson
YFX,Fox Harbour
YGB,TEXADA GILLIES BAY
YGG,  Ganges Harbor
YGH,Fort Good Hope
YGJ,Yonago
YGK,Kingston
YGL,La Grande
YGM,GIMLI INDUSTRIAL PARK AIRPORT
YGN,  Greenway Sound
YGO,GODS LAKE NARROWS
YGP,Gaspe
YGQ,Geraldton
YGR,Iles de la Madeleine
YGT,Igloolik
YGV,Havre St Pierre
YGW,Kuujjuarapik
YGX,Gillam
YGZ,Grise Fiord
YHA,Port Hope Simpson
YHD,Dryden
YHE,HOPE
YHG,Charlottetown
YHH,Campbell River
YHI,Ulukhaktok
YHK,Gjoa Haven
YHM,Toronto John C Munro Hamilton
YHO,Hopedale
YHP,Poplar Hill
YHR,Chevery
YHS,  Sechelt
YHU,Montreal St Hubert Apt
YHY,Hay River
YHZ,Halifax Stanfield International Apt
YIA,Yogyakarta
YIB,ATIKOKAN MUNI
YIC,Yichun (Jiangxi)
YIE,Aershan
YIF,Pakuashipi
YIH,Yichang
YIK,Ivujivik
YIN,Yining
YIO,Pond Inlet
YIP,DETROIT/WILLOW RUN
YIV,ISLAND LAKE
YIW,Yiwu
YJN,ST-JEAN
YJT,Stephenville
YKA,Kamloops
YKF,Toronto Region of Waterloo Int
YKG,Kangirsuk
YKH,Yingkou Lanqi
YKL,Schefferville
YKM,Yakima Air Terminal
YKO,Hakkari VYuksekova Selahaddin Eyyubi
YKQ,Waskaganish
YKS,Yakutsk
YKT,Klemtu
YKU,Chisasibi
YKX,KIRKLAND
YKZ,TORONTO BUTTONVILLE MUNI
YLB,LAC LA BICHE
YLC,Kimmirut/Lake Harbour
YLD,CHAPLEAU
YLE,Whati
YLH,Lansdowne House
YLI,YLIVIESKA
YLJ,MEADOW LAKE
YLL,Lloydminster
YLQ,LA TUQUE
YLR,LEAF RAPIDS
YLT,ALERT
YLW,Kelowna
YLX,Yulin Fumian
YLY,Langley Regional
YMF,  Montagne Harbor
YMH,Mary's Harbour
YMJ,MOOSE JAW V.MARSHALL CM MCEWEN
YMK,Mys-Kamenny
YMM,Fort McMurray
YMN,Makkovik
YMO,Moosonee
YMP,  Port McNeill
YMS,YURIMAGUAS/M.BENZAQUEN RENGIFO
YMT,Chibougamau
YMU,Mansons Landing
YMW,MANIWAKI
YMX,MONTREAL INTL MIRABEL
YNA,Natashquan
YNB,Yanbu al Bahr
YNC,Wemindji
YND,OTTAWA/GATINEAU
YNE,NORWAY HOUSE
YNG,Youngstown
YNH,HUDSONS HOPE
YNJ,Yanji
YNM,MATAGAMI
YNO,North Spirit Lake
YNP,Natuashish
YNS,Nemiscau
YNT,Yantai
YNY,Yangyang
YNZ,Yancheng
YOA,EKATI
YOC,  Old Crow
YOD,COLD LAKE
YOG,Ogoki
YOH,OXFORD HOUSE
YOJ,High Level
YOL,Yola
YON,Yongphulla
YOP,Rainbow Lake
YOW,McDonald -  Cartier Intl Apt
YOY,VALCARTIER
YPA,PRINCE ALBERT GLASS FIELD
YPB,  Port Alberni
YPC,Paulatuk
YPD,CAPE PARRY
YPE,PEACE RIVER
YPG,PORTAGE LA PRAIRIE/SOUTHPORT
YPH,Inukjuak
YPJ,Aupaluk
YPK,PITT MEADOWS BC
YPL,Pickle Lake
YPM,Pikangikum
YPN,Port Menier
YPO,Peawanuck
YPQ,PETERBOROUGH
YPR,Prince Rupert Digby Island Apt
YPS,PORT HAWKESBURY
YPT,  Pender Harbour
YPW,Powell River
YPX,Puvirnituq
YPY,Fort Chipewyan
YPZ,BURNS LAKE
YQA,MUSKOKA
YQB,Quebec International Airport
YQC,Quaqtaq
YQD,The Pas
YQF,Red Deer
YQG,Windsor
YQH,WATSON LAKE
YQI,YARMOUTH
YQJ,Quadra Island
YQK,Kenora
YQL,Lethbridge
YQM,Greater Moncton International Airport
YQN,  Nakina
YQQ,Comox
YQR,Regina
YQS,ST. THOMAS MUNI
YQT,Thunder Bay
YQU,Grande Prairie
YQV,YORKTON MUNI
YQW,NORTH BATTLEFORD CAMERON
YQX,Gander
YQY,Sydney
YQZ,Quesnel
YRA,Rae Lakes
YRB,Resolute
YRC,Refuge Cove
YRF,  Cartwright
YRG,Rigolet
YRI,RIVIERE-DU-LOUP
YRJ,Roberval
YRL,Red Lake
YRM,ROCKY MOUNTAIN HOUSE
YRO,OTTAWA/ROCKCLIFFE
YRQ,THETFORD MINES
YRS,RED SUCKER LAKE
YRT,Rankin Inlet
YSB,Sudbury
YSC,SHERBROOKE
YSE,SQUAMISH
YSF,STONY RAPIDS
YSG,Lutselke Snowdrift
YSJ,St John
YSK,Sanikiluaq
YSL,ST. LEONARD
YSM,Fort Smith
YSN,ST. CATHARINES/NIAGARA
YSO,Postville
YSP,MARATHON
YSQ,Songyuan Chaganhu
YSR,NANISIVIK
YST,ST. THERESA POINT
YSU,SUMMERSIDE
YSY,Sachs Harbour
YTA,PEMBROKE
YTD,THICKET PORTAGE
YTE,Cape Dorset
YTF,Alma
YTG,  Sullivan Bay
YTH,Thompson
YTJ,TERRACE BAY
YTL,Big Trout Lake
YTM,Mont Tremblant
YTQ,Tasiujuaq
YTR,TRENTON
YTS,Timmins
YTW,Yutian Wanfang
YTY,Yangzhou
YTZ,Bishop Billy City A/P
YUB,Tuktoyaktuk
YUD,Umiujaq
YUJ,LADY FRANKLIN POINT
YUL,Montreal Pierre Elliott Trudeau Int Apt
YUM,Yuma International Apt
YUS,Yushu
YUT,Repulse Bay
YUX,Hall Beach
YUY,Rouyn
YVA,  Moroni
YVB,Bonaventure
YVC,LA RONGE (BARBER FIELD)
YVE,VERNON
YVM,Qikiqtarjuaq
YVO,Val D'Or
YVP,Kuujjuaq
YVQ,Norman Wells
YVR,Vancouver International Apt
YVT,BUFFALO NARROWS
YVV,WIARTON
YVZ,Deer Lake
YWA,PETAWAWA
YWB,Kangiqsujuaq
YWG,Winnipeg
YWH,Victoria Inner Harbour Apt
YWJ,Deline
YWK,Wabush
YWL,Williams Lake
YWM,Williams Harbour
YWO,LUPIN
YWP,Webequie
YWS,  Whistler
YWY,WRIGLEY
YXC,Cranbrook
YXD,EDMONTON CITY CENTRE
YXE,Saskatoon
YXH,Medicine Hat
YXJ,Fort St John
YXK,RIMOUSKI/RICHELIEU
YXL,Sioux Lookout
YXN,Whale Cove
YXP,Pangnirtung
YXR,EARLTON/TIMISKAMING REGIONAL
YXS,Prince George
YXT,Terrace
YXU,London International
YXX,Abbotsford
YXY,Whitehorse
YXZ,WAWA
YYA,Yueyang Sanhe
YYB,North Bay
YYC,Calgary
YYD,Smithers
YYE,Fort Nelson
YYF,Penticton
YYG,Charlottetown
YYH,Taloyoak
YYJ,Victoria International Apt
YYL,LYNN LAKE
YYN,SWIFT CURRENT
YYQ,Churchill Airport
YYR,Goose Bay
YYT,St Johns
YYU,Kapuskasing
YYY,Mont Joli
YYZ,Lester B Pearson Intl
YZD,TORONTO/DOWNSVIEW
YZE,GORE BAY MANITOULIN
YZF,Yellowknife
YZG,Salluit
YZH,SLAVE LAKE
YZP,Sandspit
YZR,Sarnia
YZS,Coral Harbour
YZT,Port Hardy
YZU,WHITECOURT
YZV,Sept-Iles
YZX,GREENWOOD
YZY,Zhangye
YZZ,Trail
ZAC,YORK LANDING
ZAD,Zadar
ZAG,Zagreb
ZAH,Zahedan
ZAJ,Zaranj
ZAL,Valdivia
ZAM,Zamboanga
ZAO,CAHORS LALBENQUE
ZAQ,Nuremberg Rail DE
ZAR,ZARIA
ZAT,Zhaotong
ZAZ,Zaragoza
ZBF,Bathurst
ZBL,Biloela
ZBM,BROMONT
ZBR,Chah Bahar
ZBT,KOLDING/VAMDRUP
ZBY,SAYABOURY
ZCL,Zacatecas
ZCN,CELLE
ZCO,Temuco
ZCP,COBURG BRANDENSTEINSEBENE
ZDH,Basel/Mulhouse Rail (CH)
ZDN,Brno Bus (CZ)
ZDY,Delma Island
ZEL,Bella Bella
ZEM,East Main
ZER,Zero
ZEU,Goettingen Stn DE
ZFD,FOND-DU-LAC
ZFJ,XXX
ZFL,Zhaosu Tianma
ZFM,Fort McPherson
ZFN,Tulita Fort Norman
ZFQ,XXX
ZFV,Philadelphia Rail US
ZGC,LANZHOU/ZHONGCHUAN
ZGI,GODS RIVER
ZGR,LITTLE GRAND RAPIDS
ZGS,Gethsemani
ZGU,Gaua
ZHA,Zhanjiang
ZHI,GRENCHEN
ZHM,SHAMSHERNAGAR
ZHY,Zhongwei
ZIA,Zhukovsky
ZIG,Ziguinchor
ZIH,Ixtapa/Zihuatanejo
ZIS,Alzintan
ZIX,Zhigansk
ZJG,JENPEG
ZKE,Kashechewan
ZKG,Kegaska
ZKP,Zyryanka
ZLN,Le Mans Rail (FR)
ZLO,Manzanillo
ZLT,La Tabatiere
ZMB,Hamburg Rail DE
ZME,Newark Metropark Rail
ZMG,MAGDEBURG
ZMH,108 MILE AIRPORT
ZMT,Masset
ZMU,Munich Rail (DE)
ZNA,Nanaimo Harbour
ZND,ZINDER
ZNE,Newman
ZNZ,Zanzibar
ZOS,Osorno
ZPB,Sachigo Lake
ZPC,PUCON
ZQN,Queenstown
ZQW,Zweibruecken Airport
ZQZ,Zhangjiakou
ZRH,Zurich Airport
ZRI,Serui Airport
ZRJ,Round Lake
ZSA,San Salvador
ZSE,St-Pierre
ZSJ,Sandy Lake
ZSY,SCOTTSDALE
ZTA,Tureia
ZTB,Tete-a-La Baleine
ZTC,Turin Bus IT
ZTF,Westchester Rail US
ZTH,Zakinthos Island
ZTM,SHAMATTAWA
ZTT,COTTBUS
ZTU,Zaqatala
ZUD,ANCUD/PUPELDE
ZUH,Zhuhai
ZUM,Churchill Falls
ZVE,XXX
ZVK,Savannakhet
ZVR,Hanover Rail
ZWE,Antwerp Central Rail Stn
ZWI,XXX
ZWL,WOLLASTON LAKE
ZWS,STUTTGART/TRAIN STATION
ZYI,Zunyi
ZYL,Sylhet
ZYN,Nimes Rail FR
ZYR,Brussels Midi Rail BE
ZYZ,XXX
ZZO,Zonalnoye
ZZU,  Mzuzu
ZZV,ZANESVILLE MUNI AIRPORT
